Crimson,1532625013,106.8502879,-6.4185424,90,327.1
Red,1514798155,107.446012,-7.114172,44,172.3
Red,1518779438,122.994329,41.108647,33,199.1
Violet,1523346635,17.8367375,44.9469715,22,359.5
Maroon,1516033133,123.699,-10.2413,59,354.3
Teal,1541567115,25.9053209,43.7979981,89,220.3
Teal,1541316261,22.3570583,50.1063169,24,305.3
Fuscia,1520716243,35.9533322,35.1852624,3,273.8
Pink,1531010086,-87.3388767,14.7980871,33,279.1
Fuscia,1523287057,-123.0419607,49.2574664,20,172.7
Violet,1521805620,-16.23333,14.63333,56,130.9
Fuscia,1527162176,113.6680747,-8.1844859,10,187.3
Maroon,1522612835,-76.1667807,-13.4919595,21,89.7
Crimson,1520293535,114.387256,27.991617,53,14.8
Purple,1537776689,-7.8004329,53.7283566,7,315.9
Crimson,1522744586,-74.16442,40.7038775,46,314.3
Crimson,1521728069,-47.5275422,-16.7073638,22,189.6
Maroon,1537925000,124.574799,11.57256,53,192.3
Indigo,1518509942,123.7435653,13.7091486,3,316.2
Crimson,1512500175,121.42076,28.65638,34,23.0
Pink,1537239392,61.8768972,56.359356,67,72.1
Maroon,1542990612,31.1166193,-8.772507,47,155.8
Aquamarine,1536568793,51.2577545,53.9256842,52,295.1
Red,1519231918,123.174325,41.270347,47,178.2
Mauv,1522327509,6.121072,45.9018536,89,274.9
Puce,1515802526,31.8875679,26.3418755,33,257.5
Orange,1540123912,18.995304,50.7036309,23,9.7
Yellow,1542353026,28.2175744,-12.8231947,56,335.8
Blue,1521405388,121.5194596,16.5245838,96,33.5
Khaki,1538803331,-42.6945496,-21.3892337,14,282.1
Turquoise,1537538189,-112.86856,49.41668,8,224.7
Yellow,1522717632,104.8921668,11.5448729,23,41.9
Purple,1515869397,-4.1020654,47.9962116,72,50.8
Turquoise,1539085870,-69.874893,-14.91256,44,246.8
Yellow,1518352992,-126.7987848,65.2813951,79,67.6
Orange,1532036920,13.6275894,10.8909284,12,158.9
Green,1532358531,117.497651,38.143169,76,112.3
